"IDPIF","zIndex","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2004210126","201","29867.0000","9750.36479863768","0","1","4","ANDALUCIA","21","HUELVA","CUENCA MINERA","MINAS DE RIOTINTO","37.69176000","-6.59999000","2004-07-27","19105","21985","1","4","Provocados por pirómanos","1504","89","34","0","4488390"
"2007350042","202","18672.9000","7709.58408328316","0","1","12","CANARIAS","35","LAS PALMAS","GRAN CANARIA","TEJEDA","27.94616600","-15.66156600","2007-07-27","7011","42168","1","4","Otras motivaciones","601","66","11","0","0"
"2007380023","203","16820.6300","7317.22134477266","0","0","12","CANARIAS","38","S.C. TENERIFE","TENERIFE","LOS REALEJOS","28.35834600","-16.60359300","2007-07-30","4353","24523","1","4","Sin datos","1100","71","14","184705","0"
"2005190182","204","12732.7300","6366.2813612885","11","3","11","CASTILLA-MANCHA","19","GUADALAJARA","ALCARRIA ALTA","RIBA DE SAELICES","40.93993300","-2.29250000","2005-07-16","6886","24851","0","2","HOGUERAS","1045","81","29","551169","23142608"
"2005100838","206","9901.4700","5614.03223071637","0","0","14","EXTREMADURA","10","CACERES","IBORES-VILLUERCAS","CAÑAMERO","39.38115400","-5.37991000","2005-07-21","1738","9073","1","4","Otras motivaciones","506","77","24","0","14066413"
"2003100794","207","9562.6600","5517.14529101263","0","0","14","EXTREMADURA","10","CACERES","SIERRA DE SAN PEDRO","PORTUGAL","39.25377800","-7.24977400","2003-08-02","4320","14350","0","1","RAYO","830","23","14","0","4277026"
"2006361456","208","7316.7700","4825.97163888576","0","2","3","GALICIA","36","PONTEVEDRA","DEZA-TABEIROS","CERDEDO","42.54299400","-8.43642600","2006-08-04","1765","9040","1","4","Provocados por pirómanos","535","52","23","263160","15426315"
"2004230117","209","7136.6000","4766.18330925201","0","0","4","ANDALUCIA","23","JAEN","SIERRA MORENA","ALDEAQUEMADA","38.43810000","-3.31853100","2004-08-26","1310","5480","1","4","Sin datos","632","45","26","173350","1704994"
"2009440084","210","6677.8900","4610.4646250111","0","0","10","ARAGON","44","TERUEL","CUENCAS MINERAS","ALIAGA","40.71014000","-0.65960400","2009-07-22","9095","24830","0","1","RAYO","822","40","35","582917","28554150"
"2009500179","211","6459.1600","4534.32959150842","0","0","10","ARAGON","50","ZARAGOZA","ZARAGOZA","ZARAGOZA","41.86552900","-0.99850900","2009-08-18","4465","7675","0","3","MANIOBRAS MILITARES","480","46","21","0","13391337"
"2003100718","212","6365.7000","4501.40560545276","0","0","14","EXTREMADURA","10","CACERES","HURDES","OTRA PROVINCIA","40.45754100","-6.41557700","2003-08-13","0","0","0","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","273","21","23","0","12477772"
"2003050106","213","6275.0000","4469.22200813887","0","1","17","CASTILLA Y LEON","5","AVILA","EL BARCO DE AVILA","SOLANA DE ÁVILA","40.33267000","-5.64525800","2003-08-03","4425","20490","1","4","Vandalismo","347","18","15","0","753719"
"2007120090","214","5775.0200","4287.47706572189","0","0","9","C. VALENCIANA","12","CASTELLON","L ALCALATEN","LES/USERAS USERES","40.15479000","-0.18883300","2007-08-28","5755","14695","0","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","765","10","38","0","0"
"2005490807","215","4650.0000","3847.26002598554","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PORTO","42.21761600","-6.73633600","2005-10-01","14190","14970","1","4","Sin datos","33","4","9","41779","0"
"2005230249","216","4506.5000","3787.43119024921","0","7","4","ANDALUCIA","23","JAEN","LAS VILLAS","VILLANUEVA DEL ARZOBISPO","38.14098500","-2.83285200","2005-08-07","5090","12290","0","1","RAYO","1455","28","42","0","0"
"2009040055","217","4444.2700","3761.19007479021","0","0","4","ANDALUCIA","4","ALMERIA","LEVANTE ALMERIENSE","TURRE","37.07538600","-1.96103600","2009-07-14","2683","7033","0","1","RAYO","437","24","17","0","0"
"2004100257","218","4370.0000","3729.63028009904","0","0","14","EXTREMADURA","10","CACERES","CACERES-CENTRO","CÁCERES","39.51632300","-6.31837200","2004-06-30","910","3550","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","253","23","9","0","0"
"2009050152","219","4031.1800","3582.12848315966","1","1","17","CASTILLA Y LEON","5","AVILA","ARENAS DE SAN PEDRO","ARENAS DE SAN PEDRO","40.23254700","-5.06782400","2009-07-28","8409","40659","1","4","Sin datos","832","85","44","0","0"
"2003100635","220","3682.6900","3423.79414502418","0","0","14","EXTREMADURA","10","CACERES","CACERES-CENTRO","CASAS DE MILLÁN","39.79378400","-6.27752200","2003-08-02","6130","9070","0","3","FERROCARRIL","130","18","8","0","1118492"
"2009380014","221","3464.3300","3320.7386045925","0","2","12","CANARIAS","38","S.C. TENERIFE","LA PALMA","VILLA DE MAZO","28.54829100","-17.80240400","2009-07-31","4949","71815","0","2","OTRAS NEGLIGENCIAS (FUEGOS ARTIFICIALES)","1137","27","14","0","0"
"2003160084","222","3300.0000","3241.02240721429","0","0","11","CASTILLA-MANCHA","16","CUENCA","ALCARRIA","BUENDÍA","40.37520600","-2.76177600","2003-07-31","3280","6100","0","2","QUEMA DE BASURA","539","39","30","0","1506153"
"2005240664","223","3290.0000","3236.10804137419","0","1","17","CASTILLA Y LEON","24","LEON","TRUCHAS","BENUZA","42.38287700","-6.67131200","2005-08-03","7420","9012","1","4","Sin datos","453","49","43","0","0"
"2001120101","224","3200.0000","3191.53824321146","0","0","9","C. VALENCIANA","12","CASTELLON","EL BAIX MAESTRAT","XERT/CHERT","40.53549500","0.13556200","2001-08-29","6545","11951","0","1","RAYO","364","6","32","0","2635029"
"2003100544","225","3068.3200","3125.18253862946","0","0","14","EXTREMADURA","10","CACERES","CACERES-CENTRO","ALCUÉSCAR","39.17870300","-6.33155500","2003-08-02","2395","4795","0","1","RAYO","112","16","7","0","813241"
"2009100551","226","3018.7100","3099.81489208932","0","3","14","EXTREMADURA","10","CACERES","HURDES","NUÑOMORAL","40.41045000","-6.22751800","2009-07-25","8375","21995","1","4","Provocados por venganzas","1557","227","83","0","0"
"2005490795","227","3006.1400","3093.35429793055","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PORTO","42.22054500","-6.77372900","2005-09-26","18850","21790","1","4","Provocados por pastores y ganaderos para regenerar el pasto","28","1","6","349","0"
"2003080273","228","2952.5800","3065.67350471073","0","0","2","CATALUÑA","8","BARCELONA","VALLS OCCIDENTAL","SANT LLORENÇ SAVALL","41.66929500","2.04499300","2003-08-10","8223","26053","1","4","Sin datos","749","76","24","0","0"
