"IDPIF","SUPQUEMADA","MUERTOS","HERIDOS","COMUNIDAD","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2004210126","29867.0000","0","1","ANDALUCIA","HUELVA","CUENCA MINERA","MINAS DE RIOTINTO","37.69176000","-6.59999000","2004-07-27","9625","11065","4","Provocados por pirómanos","1504","89","34","0","4488390"
"2007350042","18672.9000","0","1","CANARIAS","LAS PALMAS","GRAN CANARIA","TEJEDA","27.94616600","-15.66156600","2007-07-27","7011","42168","4","Otras motivaciones","601","66","11","0","0"
"2007380023","16820.6300","0","0","CANARIAS","S.C. TENERIFE","TENERIFE","LOS REALEJOS","28.35834600","-16.60359300","2007-07-30","4353","24523","4","Sin datos","1100","71","14","184705","0"
"2005190182","12732.7300","11","3","CASTILLA-MANCHA","GUADALAJARA","ALCARRIA ALTA","RIBA DE SAELICES","40.93993300","-2.29250000","2005-07-16","6886","24851","2","HOGUERAS","1045","81","29","551169","23142608"
"2005100838","9901.4700","0","0","EXTREMADURA","CACERES","IBORES-VILLUERCAS","CAÑAMERO","39.38115400","-5.37991000","2005-07-21","1738","9073","4","Otras motivaciones","506","77","24","0","14066413"
"2003100794","9562.6600","0","0","EXTREMADURA","CACERES","SIERRA DE SAN PEDRO","PORTUGAL","39.25377800","-7.24977400","2003-08-02","4320","14350","1","RAYO","830","23","14","0","4277026"
"2006361456","7316.7700","0","2","GALICIA","PONTEVEDRA","DEZA-TABEIROS","CERDEDO","42.54299400","-8.43642600","2006-08-04","1765","9040","4","Provocados por pirómanos","535","52","23","263160","15426315"
"2004230117","7136.6000","0","0","ANDALUCIA","JAEN","SIERRA MORENA","ALDEAQUEMADA","38.43810000","-3.31853100","2004-08-26","1310","5480","4","Sin datos","632","45","26","173350","1704994"
"2009440084","6677.8900","0","0","ARAGON","TERUEL","CUENCAS MINERAS","ALIAGA","40.71014000","-0.65960400","2009-07-22","9095","24830","1","RAYO","822","40","35","582917","28554150"
"2009500179","6459.1600","0","0","ARAGON","ZARAGOZA","ZARAGOZA","ZARAGOZA","41.86552900","-0.99850900","2009-08-18","4465","7675","3","MANIOBRAS MILITARES","480","46","21","0","13391337"
"2003100718","6365.7000","0","0","EXTREMADURA","CACERES","HURDES","OTRA PROVINCIA","40.45754100","-6.41557700","2003-08-13","0","0","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","273","21","23","0","12477772"
"2003050106","6275.0000","0","1","CASTILLA Y LEON","AVILA","EL BARCO DE AVILA","SOLANA DE ÁVILA","40.33267000","-5.64525800","2003-08-03","4425","20490","4","Vandalismo","347","18","15","0","753719"
"2007120090","5775.0200","0","0","C. VALENCIANA","CASTELLON","L ALCALATEN","LES/USERAS USERES","40.15479000","-0.18883300","2007-08-28","5755","14695","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","765","10","38","0","0"
"2005490807","4650.0000","0","0","CASTILLA Y LEON","ZAMORA","EL PUENTE","PORTO","42.21761600","-6.73633600","2005-10-01","14190","14970","4","Sin datos","33","4","9","41779","0"
"2005230249","4506.5000","0","7","ANDALUCIA","JAEN","LAS VILLAS","VILLANUEVA DEL ARZOBISPO","38.14098500","-2.83285200","2005-08-07","5090","12290","1","RAYO","1455","28","42","0","0"
"2009040055","4444.2700","0","0","ANDALUCIA","ALMERIA","LEVANTE ALMERIENSE","TURRE","37.07538600","-1.96103600","2009-07-14","2683","7033","1","RAYO","437","24","17","0","0"
"2004100257","4370.0000","0","0","EXTREMADURA","CACERES","CACERES-CENTRO","CÁCERES","39.51632300","-6.31837200","2004-06-30","910","3550","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","253","23","9","0","0"
"2009050152","4031.1800","1","1","CASTILLA Y LEON","AVILA","ARENAS DE SAN PEDRO","ARENAS DE SAN PEDRO","40.23254700","-5.06782400","2009-07-28","8409","40659","4","Sin datos","832","85","44","0","0"
"2003100635","3682.6900","0","0","EXTREMADURA","CACERES","CACERES-CENTRO","CASAS DE MILLÁN","39.79378400","-6.27752200","2003-08-02","6130","9070","3","FERROCARRIL","130","18","8","0","1118492"
"2009380014","3464.3300","0","2","CANARIAS","S.C. TENERIFE","LA PALMA","VILLA DE MAZO","28.54829100","-17.80240400","2009-07-31","4949","71815","2","OTRAS NEGLIGENCIAS (FUEGOS ARTIFICIALES)","1137","27","14","0","0"
"2003160084","3300.0000","0","0","CASTILLA-MANCHA","CUENCA","ALCARRIA","BUENDÍA","40.37520600","-2.76177600","2003-07-31","3280","6100","2","QUEMA DE BASURA","539","39","30","0","1506153"
"2005240664","3290.0000","0","1","CASTILLA Y LEON","LEON","TRUCHAS","BENUZA","42.38287700","-6.67131200","2005-08-03","7420","9012","4","Sin datos","453","49","43","0","0"
"2001120101","3200.0000","0","0","C. VALENCIANA","CASTELLON","EL BAIX MAESTRAT","XERT/CHERT","40.53549500","0.13556200","2001-08-29","6545","11951","1","RAYO","364","6","32","0","2635029"
"2003100544","3068.3200","0","0","EXTREMADURA","CACERES","CACERES-CENTRO","ALCUÉSCAR","39.17870300","-6.33155500","2003-08-02","2395","4795","1","RAYO","112","16","7","0","813241"
"2009100551","3018.7100","0","3","EXTREMADURA","CACERES","HURDES","NUÑOMORAL","40.41045000","-6.22751800","2009-07-25","8375","21995","4","Provocados por venganzas","1557","227","83","0","0"
